Title,Year
Secret Things,
Yves St. Laurent,
My Baby's Daddy,
Chasing Liberty,
The Battle of Algiers ,
The Home Teachers,
Aileen: The Life and Death of a Serial Killer,
Along Came Polly,
Torque,
Teacher's Pet,
The Corporation ,
Crimson Gold,
Tokyo Godfathers,
The Tracker,
Cuba: Island of Music,
Empathy,
The Butterfly Effect,
Win a Date with Tad Hamilton!,
Touching the Void,
Khakee,
Wooly Boys,
You Got Served,
The Perfect Score,
The Big Bounce,
Latter Days,
Ginger Snaps II: Unleashed,
On the Run: Trilogy 1,
L'Age d'Or ,
Eat This New York,
Moto X Kids,
Barbershop 2: Back in Business,
Miracle,
Catch That Kid,
What the #$*! Do We Know?!,
The Dreamers,
Osama,
The Return,
The Lost Skeleton of Cadavra,
Hiding and Seeking,
An Amazing Couple: Trilogy 2,
Blind Shaft,
Perfect Opposites,
50 First Dates,
Highwaymen,
Dans l'oeil du chat,
Robot Stories,
The Seagull's Laughter,
The Umbrellas of Cherbourg ,
After the Life: Trilogy 3,
La Mentale: The Code,
Love Object,
Cockfight,
Confessions of a Teenage Drama Queen,
Eurotrip,
Welcome to Mooseport,
Against the Ropes,
The Blue Butterfly,
The Best Two Years,
Kitchen Stories,
Crying Ladies,
Jack Paradise,
Effroyables jardins,
The Big Animal,
Abouna,
The Passion of the Christ,
Miaou!,
Twisted,
Dirty Dancing: Havana Nights,
Club Dread,
"Good Bye, Lenin!",
Greendale,
Decoys,
Alila,
Lana's Rain,
Risk/Reward,
What Boys Like,
Starsky and Hutch,
Hidalgo,
The Reckoning,
The Snow Walker,
"Love, Sex and Eating the Bones",
Carlos Castaneda: Enigma of a Sorcerer,
James' Journey to Jerusalem,
La Vie Promise,
MC5: A True Testimonial,
Secret Window,
Agent Cody Banks 2: Destination London,
NASCAR 3D: The IMAX Experience ,
Spartan,
Le Dernier Tunnel,
Broken Wings,
Wilbur Wants to Kill Himself,
Games People Play: New York,
Distant,
Maestro,
How to Draw a Bunny,
Divan,
Dawn of the Dead,
Eternal Sunshine of the Spotless Mind,
Taking Lives,
Bon Voyage,
Intermission,
Noi,
Scooby-Doo 2: Monsters Unleashed,
The Ladykillers,
Jersey Girl,
Never Die Alone,
Dogville,
Tais-toi,
This Old Cub,
Mayor of the Sunset Strip,
Two Men Went to War,
Ned Kelly,
Raja,
I'll Sing for You,
Hellboy,
Home on the Range,
Walking Tall,
The Prince and Me,
"Spring, Summer, Fall, Winter... and Spring",
Shaolin Soccer,
The United States of Leland,
The Delicate Art of Parking,
A Thousand Clouds of Peace,
Adored: Diary of a Male Porn Star,
Son Frere,
Tamala 2010: A Punk Cat in Space,
The Outskirts,
Marathon,
Johnson Family Vacation,
Ella Enchanted,
The Alamo ,2004
The Whole Ten Yards,
The Girl Next Door,
Dans une galaxie pres de chez vous,
I'm Not Scared,
