Title,Year,Genre,Runtime,Awards,Metascore,imdbRating
Secret Things,2002,"Comedy, Drama, Fantasy",115 min,1 win.,55,6.1
,,,,,,
My Baby's Daddy,2004,Comedy,86 min,N/A,23,4.5
Chasing Liberty,2004,"Comedy, Romance",111 min,5 nominations.,46,6.1
The Battle of Algiers,1966,"Drama, War",121 min,Nominated for 3 Oscars. Another 9 wins & 5 nominations.,94,8.1
The Home Teachers,2004,Comedy,82 min,N/A,N/A,4.6
,,,,,,
Along Came Polly,2004,"Comedy, Romance",90 min,1 win & 8 nominations.,44,5.9
Torque,2004,"Action, Comedy, Crime",84 min,4 nominations.,41,4
Teacher's Pet,1958,"Comedy, Romance",120 min,Nominated for 2 Oscars. Another 7 nominations.,N/A,7.2
The Corporation,2003,"Documentary, History",145 min,11 wins & 1 nomination.,73,8.2
Crimson Gold,2003,"Drama, Thriller",95 min,4 wins & 1 nomination.,81,7.6
Tokyo Godfathers,2003,"Adventure, Animation, Drama",92 min,8 wins & 1 nomination.,73,7.9
The Tracker,2002,"Drama, History, Western",90 min,16 wins & 16 nominations.,71,7.6
Cuba: Island of Music,2004,Documentary,95 min,N/A,54,N/A
Empathy,2007,"Horror, Thriller",90 min,N/A,N/A,7
The Butterfly Effect,2004,"Sci-Fi, Thriller",113 min,1 win & 8 nominations.,30,7.7
Win a Date with Tad Hamilton!,2004,"Comedy, Romance",95 min,8 nominations.,52,5.6
Touching the Void,2003,"Documentary, Adventure, Drama",106 min,6 wins & 10 nominations.,82,8.1
Khakee,2004,"Action, Drama",174 min,20 nominations.,N/A,7.6
Wooly Boys,2001,Comedy,99 min,N/A,N/A,6.3
You Got Served,2004,"Drama, Music",95 min,1 win & 5 nominations.,37,3.4
The Perfect Score,2004,"Comedy, Crime",93 min,1 nomination.,35,5.7
The Big Bounce,2004,"Comedy, Crime",88 min,N/A,42,4.9
Latter Days,2003,"Comedy, Drama, Romance",107 min,3 wins.,45,7.3
,,,,,,
,,,,,,
L'Age d'Or,1930,"Comedy, Drama, Horror",63 min,N/A,N/A,7.5
Eat This New York,2004,Documentary,80 min,N/A,60,7
,,,,,,
Barbershop 2: Back in Business,2004,"Comedy, Drama",106 min,2 wins & 10 nominations.,59,5.7
Miracle,2004,"Biography, Drama, History",135 min,1 win & 3 nominations.,68,7.5
Catch That Kid,2004,"Comedy, Crime",91 min,1 nomination.,33,5.2
,,,,,,
The Dreamers,2003,"Drama, Romance",115 min,9 nominations.,62,7.2
Osama,2003,Drama,83 min,Won 1 Golden Globe. Another 14 wins & 11 nominations.,83,7.4
The Return,2003,"Drama, Mystery, Thriller",105 min,Nominated for 1 Golden Globe. Another 28 wins & 13 nominations.,82,8
The Lost Skeleton of Cadavra,2001,"Comedy, Horror, Sci-Fi",90 min,2 nominations.,45,7.1
Hiding and Seeking: Faith and Tolerance After the Holocaust,2004,Documentary,N/A,2 nominations.,67,7.7
,,,,,,
Blind Shaft,2003,"Crime, Drama",92 min,16 wins & 7 nominations.,78,7.6
Perfect Opposites,2004,"Drama, Romance",99 min,N/A,N/A,5.6
